Order_ID,Order_Date,Order_Month,Order_Year,Customer_ID,Customer_Name,Gender,Age,City,State,Category,Sub_Category,Product_Name,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Profit_Margin_Pct,Payment_Mode
ORD0020,2025-05-27,2025-05,2025,CUST0148,Customer 352,Male,53,Chennai,Tamil Nadu,Home & Kitchen,Kitchen,Air Fryer,5,6500,0.15,27625.0,21500,6125.0,22.17,Credit Card
ORD0021,2025-05-31,2025-05,2025,CUST0415,Customer 298,Male,28,Kolkata,West Bengal,Electronics,Laptop,Laptop,2,55000,0.15,93500.0,84000,9500.0,10.16,Upi
ORD0022,2026-03-29,2026-03,2026,CUST0037,Customer 160,Other,19,Kozhikode,Kerala,Clothing,Men'S Wear,Jeans,1,2200,0.1,1980.0,1300,680.0,34.34,Net Banking
ORD0023,2026-02-24,2026-02,2026,CUST0422,Customer 104,Female,20,Kozhikode,Kerala,Home & Kitchen,Furniture,Office Chair,3,8500,0.1,22950.0,17400,5550.0,24.18,Credit Card
ORD0024,2025-06-12,2025-06,2025,CUST0208,Customer 445,Male,46,Warangal,Telangana,Electronics,Mobile,Smartphone,1,22000,0.1,19800.0,16500,3300.0,16.67,Upi
ORD0025,2025-02-02,2025-02,2025,CUST0176,Customer 443,Female,25,Salem,Tamil Nadu,Clothing,Men'S Wear,T-Shirt,5,900,0.0,4500.0,2500,2000.0,44.44,Debit Card
ORD0026,2025-10-11,2025-10,2025,CUST0367,Customer 448,Female,25,Thiruvananthapuram,Kerala,Electronics,Mobile,Smartphone,5,22000,0.05,104500.0,82500,22000.0,21.05,Cash
ORD0027,2025-02-15,2025-02,2025,CUST0373,Customer 6,Other,34,Chennai,Tamil Nadu,Electronics,Wearables,Smart Watch,3,4500,0.1,12150.0,8700,3450.0,28.4,Credit Card
ORD0028,2025-07-10,2025-07,2025,CUST0253,Customer 416,Female,48,Kochi,Kerala,Sports,Cricket,Cricket Bat,1,2800,0.1,2520.0,1750,770.0,30.56,Cash
ORD0029,2025-10-15,2025-10,2025,CUST0431,Customer 342,Female,48,Kolkata,West Bengal,Electronics,Audio,Headphones,2,2500,0.1,4500.0,3200,1300.0,28.89,Net Banking
ORD0030,2025-09-03,2025-09,2025,CUST0176,Customer 39,Female,34,Kolkata,West Bengal,Electronics,Audio,Headphones,2,2500,0.15,4250.0,3200,1050.0,24.71,Upi
ORD0031,2025-02-05,2025-02,2025,CUST0173,Customer 20,Male,30,Pune,Maharashtra,Beauty,Fragrance,Perfume,2,1800,0.15,3060.0,2100,960.0,31.37,Upi
ORD0032,2025-02-20,2025-02,2025,CUST0153,Customer 186,Male,32,Salem,Tamil Nadu,Clothing,Women'S Wear,Jacket,4,3200,0.15,10880.0,7600,3280.0,30.15,Upi
ORD0033,2026-03-20,2026-03,2026,CUST0101,Customer 264,Female,59,Kolkata,West Bengal,Sports,Football,Football,2,1200,0.15,2040.0,1400,640.0,31.37,Upi
ORD0034,2025-09-26,2025-09,2025,CUST0370,Customer 124,Female,47,Mumbai,Maharashtra,Home & Kitchen,Kitchen,Air Fryer,5,6500,0.0,32500.0,21500,11000.0,33.85,Debit Card
ORD0035,2025-05-07,2025-05,2025,CUST0393,Customer 396,Male,43,Mysuru,Karnataka,Electronics,Wearables,Smart Watch,3,4500,0.05,12825.0,8700,4125.0,32.16,Net Banking
ORD0036,2025-09-29,2025-09,2025,CUST0189,Customer 192,Female,42,Mumbai,Maharashtra,Electronics,Laptop,Laptop,2,55000,0.0,110000.0,84000,26000.0,23.64,Upi
ORD0037,2025-10-12,2025-10,2025,CUST0220,Customer 69,Male,33,Kolkata,West Bengal,Home & Kitchen,Kitchen,Mixer Grinder,3,4200,0.0,12600.0,8400,4200.0,33.33,Upi
ORD0038,2025-10-16,2025-10,2025,CUST0254,Customer 222,Male,33,Kolkata,West Bengal,Electronics,Mobile,Smartphone,4,22000,0.0,88000.0,66000,22000.0,25.0,Credit Card
ORD0039,2025-11-21,2025-11,2025,CUST0004,Customer 16,Male,48,Nagpur,Maharashtra,Electronics,Mobile,Smartphone,5,22000,0.15,93500.0,82500,11000.0,11.76,Net Banking
ORD0040,2026-01-15,2026-01,2026,CUST0033,Customer 417,Female,44,Surat,Gujarat,Clothing,Men'S Wear,T-Shirt,4,900,0.1,3240.0,2000,1240.0,38.27,Debit Card
ORD0041,2026-02-01,2026-02,2026,CUST0012,Customer 95,Female,57,Nagpur,Maharashtra,Beauty,Skincare,Moisturizer,3,750,0.15,1912.5,1260,652.5,34.12,Upi
ORD0042,2026-02-22,2026-02,2026,CUST0115,Customer 105,Female,34,New Delhi,Delhi,Electronics,Audio,Headphones,2,2500,0.1,4500.0,3200,1300.0,28.89,Credit Card
ORD0043,2026-01-29,2026-01,2026,CUST0357,Customer 408,Male,46,Kolkata,West Bengal,Electronics,Laptop,Laptop,2,55000,0.1,99000.0,84000,15000.0,15.15,Credit Card
ORD0044,2025-02-06,2025-02,2025,CUST0268,Customer 369,Female,56,Ahmedabad,Gujarat,Sports,Fitness,Dumbbells,4,2200,0.05,8360.0,5400,2960.0,35.41,Net Banking
ORD0045,2025-12-08,2025-12,2025,CUST0397,Customer 187,Female,34,Kolkata,West Bengal,Beauty,Skincare,Face Wash,3,450,0.0,1350.0,780,570.0,42.22,Credit Card
ORD0046,2026-01-19,2026-01,2026,CUST0052,Customer 339,Male,26,Kochi,Kerala,Electronics,Laptop,Laptop,1,55000,0.15,46750.0,42000,4750.0,10.16,Net Banking
ORD0047,2025-02-08,2025-02,2025,CUST0109,Customer 181,Female,38,Mangaluru,Karnataka,Electronics,Laptop,Laptop,3,55000,0.1,148500.0,126000,22500.0,15.15,Cash
ORD0048,2025-01-09,2025-01,2025,CUST0074,Customer 442,Female,40,Mysuru,Karnataka,Electronics,Audio,Headphones,2,2500,0.05,4750.0,3200,1550.0,32.63,Debit Card
ORD0049,2026-06-01,2026-06,2026,CUST0029,Customer 165,Female,26,Hyderabad,Telangana,Electronics,Audio,Headphones,5,2500,0.0,12500.0,8000,4500.0,36.0,Debit Card
ORD0050,2025-05-12,2025-05,2025,CUST0292,Customer 70,Female,34,New Delhi,Delhi,Sports,Fitness,Dumbbells,5,2200,0.05,10450.0,6750,3700.0,35.41,Net Banking
ORD0051,2025-08-08,2025-08,2025,CUST0126,Customer 58,Male,36,Hyderabad,Telangana,Home & Kitchen,Home Decor,Table Lamp,3,1800,0.0,5400.0,3150,2250.0,41.67,Credit Card
ORD0052,2025-07-10,2025-07,2025,CUST0369,Customer 409,Female,20,Warangal,Telangana,Beauty,Fragrance,Perfume,1,1800,0.1,1620.0,1050,570.0,35.19,Net Banking
ORD0053,2025-03-21,2025-03,2025,CUST0374,Customer 213,Female,49,Ahmedabad,Gujarat,Electronics,Mobile,Smartphone,2,22000,0.0,44000.0,33000,11000.0,25.0,Upi
ORD0054,2026-05-28,2026-05,2026,CUST0373,Customer 54,Male,58,Kochi,Kerala,Electronics,Audio,Headphones,4,2500,0.0,10000.0,6400,3600.0,36.0,Upi
ORD0055,2026-02-12,2026-02,2026,CUST0156,Customer 373,Female,27,New Delhi,Delhi,Home & Kitchen,Furniture,Office Chair,1,8500,0.15,7225.0,5800,1425.0,19.72,Net Banking
ORD0056,2026-05-17,2026-05,2026,CUST0447,Customer 145,Male,45,Surat,Gujarat,Electronics,Mobile,Smartphone,2,22000,0.0,44000.0,33000,11000.0,25.0,Net Banking
ORD0057,2025-09-13,2025-09,2025,CUST0197,Customer 303,Female,30,Chennai,Tamil Nadu,Home & Kitchen,Kitchen,Mixer Grinder,4,4200,0.05,15960.0,11200,4760.0,29.82,Cash
ORD0058,2025-03-06,2025-03,2025,CUST0146,Customer 224,Male,22,Coimbatore,Tamil Nadu,Electronics,Mobile,Smartphone,2,22000,0.1,39600.0,33000,6600.0,16.67,Upi
ORD0059,2025-04-15,2025-04,2025,CUST0099,Customer 385,Female,39,Kolkata,West Bengal,Electronics,Laptop,Laptop,2,55000,0.05,104500.0,84000,20500.0,19.62,Credit Card
ORD0060,2026-04-03,2026-04,2026,CUST0083,Customer 145,Female,55,Nagpur,Maharashtra,Sports,Cricket,Cricket Bat,5,2800,0.2,11200.0,8750,2450.0,21.88,Credit Card
ORD0061,2025-02-03,2025-02,2025,CUST0348,Customer 95,Male,21,Pune,Maharashtra,Electronics,Laptop,Laptop,3,55000,0.05,156750.0,126000,30750.0,19.62,Debit Card
ORD0062,2026-02-05,2026-02,2026,CUST0112,Customer 255,Female,29,Ahmedabad,Gujarat,Clothing,Men'S Wear,Jeans,3,2200,0.1,5940.0,3900,2040.0,34.34,Net Banking
ORD0063,2025-11-02,2025-11,2025,CUST0098,Customer 338,Male,28,Kolkata,West Bengal,Home & Kitchen,Kitchen,Mixer Grinder,5,4200,0.1,18900.0,14000,4900.0,25.93,Upi
ORD0064,2026-06-26,2026-06,2026,CUST0247,Customer 106,Male,55,New Delhi,Delhi,Clothing,Women'S Wear,Kurti,2,1600,0.05,3040.0,1800,1240.0,40.79,Net Banking
ORD0065,2025-03-10,2025-03,2025,CUST0034,Customer 262,Female,27,Kochi,Kerala,Sports,Fitness,Dumbbells,2,2200,0.15,3740.0,2700,1040.0,27.81,Upi
ORD0066,2026-01-09,2026-01,2026,CUST0400,Customer 8,Male,40,Pune,Maharashtra,Home & Kitchen,Furniture,Office Chair,3,8500,0.0,25500.0,17400,8100.0,31.76,Upi
ORD0067,2025-02-20,2025-02,2025,CUST0403,Customer 277,Female,44,Warangal,Telangana,Clothing,Men'S Wear,T-Shirt,3,900,0.15,2295.0,1500,795.0,34.64,Upi
ORD0068,2026-06-30,2026-06,2026,CUST0433,Customer 78,Male,22,Pune,Maharashtra,Electronics,Laptop,Laptop,5,55000,0.1,247500.0,210000,37500.0,15.15,Upi
ORD0069,2025-02-17,2025-02,2025,CUST0061,Customer 337,Male,39,Bengaluru,Karnataka,Home & Kitchen,Kitchen,Air Fryer,1,6500,0.05,6175.0,4300,1875.0,30.36,Net Banking
ORD0070,2025-03-19,2025-03,2025,CUST0216,Customer 386,Male,39,Bengaluru,Karnataka,Electronics,Audio,Headphones,5,2500,0.2,10000.0,8000,2000.0,20.0,Debit Card
ORD0071,2025-10-01,2025-10,2025,CUST0294,Customer 227,Female,40,Pune,Maharashtra,Electronics,Wearables,Smart Watch,3,4500,0.1,12150.0,8700,3450.0,28.4,Credit Card
ORD0072,2026-04-19,2026-04,2026,CUST0126,Customer 300,Male,56,Kozhikode,Kerala,Electronics,Audio,Headphones,5,2500,0.0,12500.0,8000,4500.0,36.0,Upi
ORD0073,2025-04-21,2025-04,2025,CUST0034,Customer 111,Male,58,Chennai,Tamil Nadu,Home & Kitchen,Kitchen,Mixer Grinder,4,4200,0.05,15960.0,11200,4760.0,29.82,Upi
ORD0074,2026-03-19,2026-03,2026,CUST0440,Customer 315,Female,23,Surat,Gujarat,Home & Kitchen,Furniture,Office Chair,2,8500,0.05,16150.0,11600,4550.0,28.17,Debit Card
ORD0075,2025-12-16,2025-12,2025,CUST0331,Customer 446,Male,23,Pune,Maharashtra,Clothing,Men'S Wear,T-Shirt,5,900,0.0,4500.0,2500,2000.0,44.44,Credit Card
ORD0076,2025-08-11,2025-08,2025,CUST0006,Customer 322,Male,48,New Delhi,Delhi,Beauty,Skincare,Moisturizer,1,750,0.0,750.0,420,330.0,44.0,Net Banking
ORD0077,2026-01-27,2026-01,2026,CUST0026,Customer 435,Female,55,Warangal,Telangana,Sports,Fitness,Yoga Mat,1,900,0.05,855.0,480,375.0,43.86,Net Banking
ORD0078,2025-01-01,2025-01,2025,CUST0090,Customer 142,Female,50,Mumbai,Maharashtra,Electronics,Mobile,Smartphone,4,22000,0.05,83600.0,66000,17600.0,21.05,Credit Card
ORD0079,2025-01-10,2025-01,2025,CUST0261,Customer 407,Male,20,Surat,Gujarat,Clothing,Women'S Wear,Kurti,4,1600,0.05,6080.0,3600,2480.0,40.79,Upi
ORD0080,2026-02-23,2026-02,2026,CUST0094,Customer 95,Male,54,Mysuru,Karnataka,Home & Kitchen,Kitchen,Air Fryer,4,6500,0.05,24700.0,17200,7500.0,30.36,Upi
ORD0081,2026-05-28,2026-05,2026,CUST0296,Customer 320,Female,28,Chennai,Tamil Nadu,Beauty,Skincare,Moisturizer,2,750,0.0,1500.0,840,660.0,44.0,Upi
ORD0082,2025-06-14,2025-06,2025,CUST0005,Customer 339,Female,31,New Delhi,Delhi,Electronics,Laptop,Laptop,3,55000,0.1,148500.0,126000,22500.0,15.15,Cash
ORD0083,2026-06-10,2026-06,2026,CUST0288,Customer 179,Female,42,Thiruvananthapuram,Kerala,Clothing,Women'S Wear,Jacket,1,3200,0.15,2720.0,1900,820.0,30.15,Credit Card
ORD0084,2025-04-14,2025-04,2025,CUST0435,Customer 39,Male,50,Pune,Maharashtra,Clothing,Women'S Wear,Kurti,1,1600,0.0,1600.0,900,700.0,43.75,Credit Card
ORD0085,2026-04-23,2026-04,2026,CUST0231,Customer 411,Female,32,Thiruvananthapuram,Kerala,Sports,Fitness,Yoga Mat,3,900,0.05,2565.0,1440,1125.0,43.86,Credit Card
ORD0086,2026-06-06,2026-06,2026,CUST0005,Customer 123,Male,50,Hyderabad,Telangana,Electronics,Laptop,Laptop,5,55000,0.0,275000.0,210000,65000.0,23.64,Credit Card
ORD0087,2025-02-16,2025-02,2025,CUST0324,Customer 332,Female,32,Bengaluru,Karnataka,Electronics,Laptop,Laptop,4,55000,0.05,209000.0,168000,41000.0,19.62,Upi
ORD0088,2025-01-11,2025-01,2025,CUST0254,Customer 330,Male,43,Pune,Maharashtra,Electronics,Audio,Headphones,3,2500,0.1,6750.0,4800,1950.0,28.89,Upi
ORD0089,2025-07-29,2025-07,2025,CUST0111,Customer 104,Female,29,Surat,Gujarat,Electronics,Audio,Headphones,2,2500,0.15,4250.0,3200,1050.0,24.71,Upi
ORD0090,2026-01-13,2026-01,2026,CUST0393,Customer 51,Female,54,Hyderabad,Telangana,Sports,Fitness,Dumbbells,4,2200,0.1,7920.0,5400,2520.0,31.82,Upi
ORD0091,2025-07-01,2025-07,2025,CUST0313,Customer 1,Other,54,Pune,Maharashtra,Sports,Football,Football,3,1200,0.05,3420.0,2100,1320.0,38.6,Cash
ORD0092,2025-09-01,2025-09,2025,CUST0025,Customer 90,Male,26,Kolkata,West Bengal,Home & Kitchen,Furniture,Office Chair,5,8500,0.05,40375.0,29000,11375.0,28.17,Cash
ORD0093,2025-06-28,2025-06,2025,CUST0182,Customer 152,Female,34,Thiruvananthapuram,Kerala,Home & Kitchen,Kitchen,Air Fryer,3,6500,0.1,17550.0,12900,4650.0,26.5,Upi
ORD0094,2026-04-14,2026-04,2026,CUST0049,Customer 337,Female,60,Madurai,Tamil Nadu,Electronics,Laptop,Laptop,1,55000,0.05,52250.0,42000,10250.0,19.62,Upi
ORD0095,2025-05-21,2025-05,2025,CUST0215,Customer 435,Female,57,Hyderabad,Telangana,Electronics,Mobile,Smartphone,4,22000,0.1,79200.0,66000,13200.0,16.67,Credit Card
ORD0096,2025-01-18,2025-01,2025,CUST0257,Customer 78,Male,46,Kozhikode,Kerala,Home & Kitchen,Kitchen,Air Fryer,5,6500,0.1,29250.0,21500,7750.0,26.5,Credit Card
ORD0097,2025-09-21,2025-09,2025,CUST0413,Customer 55,Female,47,Kozhikode,Kerala,Clothing,Men'S Wear,Jeans,4,2200,0.05,8360.0,5200,3160.0,37.8,Upi
ORD0098,2026-04-21,2026-04,2026,CUST0288,Customer 178,Male,51,Kolkata,West Bengal,Beauty,Hair Care,Shampoo,2,650,0.15,1105.0,760,345.0,31.22,Upi
ORD0099,2025-11-24,2025-11,2025,CUST0054,Customer 249,Male,41,Kolkata,West Bengal,Clothing,Men'S Wear,T-Shirt,1,900,0.0,900.0,500,400.0,44.44,Credit Card
ORD0100,2025-03-19,2025-03,2025,CUST0288,Customer 120,Male,25,Kolkata,West Bengal,Clothing,Women'S Wear,Kurti,1,1600,0.1,1440.0,900,540.0,37.5,Upi
ORD0101,2025-01-07,2025-01,2025,CUST0330,Customer 263,Male,38,New Delhi,Delhi,Beauty,Skincare,Moisturizer,4,750,0.1,2700.0,1680,1020.0,37.78,Upi
ORD0102,2026-06-07,2026-06,2026,CUST0234,Customer 386,Male,46,Madurai,Tamil Nadu,Beauty,Skincare,Moisturizer,5,750,0.15,3187.5,2100,1087.5,34.12,Net Banking
ORD0103,2026-05-15,2026-05,2026,CUST0342,Customer 364,Male,47,Kozhikode,Kerala,Electronics,Wearables,Smart Watch,5,4500,0.05,21375.0,14500,6875.0,32.16,Net Banking
ORD0104,2026-06-10,2026-06,2026,CUST0009,Customer 40,Male,49,Ahmedabad,Gujarat,Sports,Fitness,Dumbbells,3,2200,0.15,5610.0,4050,1560.0,27.81,Upi
ORD0105,2025-03-16,2025-03,2025,CUST0326,Customer 146,Female,43,Bengaluru,Karnataka,Home & Kitchen,Kitchen,Mixer Grinder,3,4200,0.05,11970.0,8400,3570.0,29.82,Upi
ORD0106,2025-12-08,2025-12,2025,CUST0027,Customer 313,Male,42,Ahmedabad,Gujarat,Beauty,Skincare,Face Wash,2,450,0.1,810.0,520,290.0,35.8,Debit Card
ORD0107,2026-04-21,2026-04,2026,CUST0190,Customer 122,Female,24,Kolkata,West Bengal,Sports,Fitness,Dumbbells,2,2200,0.1,3960.0,2700,1260.0,31.82,Cash
ORD0108,2025-10-23,2025-10,2025,CUST0011,Customer 164,Female,53,New Delhi,Delhi,Electronics,Wearables,Smart Watch,3,4500,0.0,13500.0,8700,4800.0,35.56,Upi
ORD0109,2025-10-16,2025-10,2025,CUST0250,Customer 36,Female,41,Madurai,Tamil Nadu,Electronics,Audio,Headphones,2,2500,0.05,4750.0,3200,1550.0,32.63,Debit Card
ORD0110,2026-05-16,2026-05,2026,CUST0073,Customer 201,Male,60,Kolkata,West Bengal,Electronics,Audio,Headphones,4,2500,0.0,10000.0,6400,3600.0,36.0,Debit Card
ORD0111,2025-08-17,2025-08,2025,CUST0108,Customer 172,Male,42,Ahmedabad,Gujarat,Home & Kitchen,Kitchen,Mixer Grinder,3,4200,0.1,11340.0,8400,2940.0,25.93,Cash
ORD0112,2025-01-12,2025-01,2025,CUST0318,Customer 80,Female,34,Thiruvananthapuram,Kerala,Electronics,Wearables,Smart Watch,3,4500,0.05,12825.0,8700,4125.0,32.16,Credit Card
ORD0113,2025-03-30,2025-03,2025,CUST0268,Customer 143,Female,33,Ahmedabad,Gujarat,Beauty,Skincare,Face Wash,1,450,0.1,405.0,260,145.0,35.8,Upi
ORD0114,2025-09-07,2025-09,2025,CUST0391,Customer 270,Male,34,Thiruvananthapuram,Kerala,Electronics,Mobile,Smartphone,2,22000,0.1,39600.0,33000,6600.0,16.67,Credit Card
ORD0115,2026-01-07,2026-01,2026,CUST0423,Customer 402,Female,40,Kolkata,West Bengal,Clothing,Men'S Wear,T-Shirt,3,900,0.15,2295.0,1500,795.0,34.64,Debit Card
ORD0116,2025-07-02,2025-07,2025,CUST0364,Customer 39,Female,51,Thiruvananthapuram,Kerala,Clothing,Men'S Wear,Jeans,3,2200,0.1,5940.0,3900,2040.0,34.34,Credit Card
ORD0117,2026-03-02,2026-03,2026,CUST0108,Customer 382,Female,30,Kolkata,West Bengal,Beauty,Skincare,Moisturizer,5,750,0.1,3375.0,2100,1275.0,37.78,Net Banking
ORD0118,2025-02-08,2025-02,2025,CUST0302,Customer 29,Male,30,Mangaluru,Karnataka,Home & Kitchen,Kitchen,Air Fryer,3,6500,0.15,16575.0,12900,3675.0,22.17,Net Banking
ORD0119,2025-09-23,2025-09,2025,CUST0414,Customer 409,Female,33,New Delhi,Delhi,Electronics,Mobile,Smartphone,5,22000,0.05,104500.0,82500,22000.0,21.05,Net Banking
ORD0120,2025-11-20,2025-11,2025,CUST0146,Customer 446,Male,20,Kolkata,West Bengal,Home & Kitchen,Kitchen,Mixer Grinder,1,4200,0.0,4200.0,2800,1400.0,33.33,Upi
ORD0121,2025-03-02,2025-03,2025,CUST0427,Customer 380,Male,41,Mumbai,Maharashtra,Electronics,Laptop,Laptop,1,55000,0.0,55000.0,42000,13000.0,23.64,Net Banking
ORD0122,2025-11-06,2025-11,2025,CUST0373,Customer 243,Male,51,New Delhi,Delhi,Sports,Fitness,Yoga Mat,3,900,0.15,2295.0,1440,855.0,37.25,Net Banking
ORD0123,2025-02-23,2025-02,2025,CUST0047,Customer 215,Female,20,Pune,Maharashtra,Electronics,Mobile,Smartphone,1,22000,0.0,22000.0,16500,5500.0,25.0,Cash
ORD0124,2025-05-25,2025-05,2025,CUST0216,Customer 3,Female,59,Chennai,Tamil Nadu,Sports,Football,Football,1,1200,0.0,1200.0,700,500.0,41.67,Credit Card
ORD0125,2025-09-24,2025-09,2025,CUST0105,Customer 440,Female,26,Ahmedabad,Gujarat,Electronics,Wearables,Smart Watch,5,4500,0.1,20250.0,14500,5750.0,28.4,Net Banking
ORD0126,2026-06-21,2026-06,2026,CUST0261,Customer 395,Male,29,Kozhikode,Kerala,Electronics,Laptop,Laptop,3,55000,0.2,132000.0,126000,6000.0,4.55,Upi
ORD0127,2025-04-24,2025-04,2025,CUST0040,Customer 301,Female,43,Thiruvananthapuram,Kerala,Home & Kitchen,Furniture,Office Chair,3,8500,0.1,22950.0,17400,5550.0,24.18,Net Banking
ORD0128,2025-10-16,2025-10,2025,CUST0262,Customer 216,Female,51,Surat,Gujarat,Clothing,Men'S Wear,Jeans,3,2200,0.05,6270.0,3900,2370.0,37.8,Net Banking
ORD0129,2026-02-26,2026-02,2026,CUST0188,Customer 7,Female,42,Kochi,Kerala,Electronics,Wearables,Smart Watch,1,4500,0.05,4275.0,2900,1375.0,32.16,Upi
ORD0130,2025-03-23,2025-03,2025,CUST0356,Customer 258,Male,59,Nagpur,Maharashtra,Sports,Cricket,Cricket Bat,3,2800,0.15,7140.0,5250,1890.0,26.47,Upi
ORD0131,2025-08-11,2025-08,2025,CUST0354,Customer 188,Other,44,New Delhi,Delhi,Beauty,Skincare,Moisturizer,2,750,0.05,1425.0,840,585.0,41.05,Debit Card
ORD0132,2026-02-16,2026-02,2026,CUST0060,Customer 335,Male,27,Surat,Gujarat,Beauty,Skincare,Moisturizer,3,750,0.1,2025.0,1260,765.0,37.78,Cash
ORD0133,2025-01-17,2025-01,2025,CUST0012,Customer 406,Male,53,New Delhi,Delhi,Beauty,Hair Care,Shampoo,4,650,0.0,2600.0,1520,1080.0,41.54,Upi
ORD0134,2025-10-12,2025-10,2025,CUST0204,Customer 164,Female,35,Coimbatore,Tamil Nadu,Home & Kitchen,Kitchen,Air Fryer,2,6500,0.0,13000.0,8600,4400.0,33.85,Net Banking
ORD0135,2026-04-04,2026-04,2026,CUST0058,Customer 26,Male,23,Kozhikode,Kerala,Clothing,Women'S Wear,Jacket,5,3200,0.0,16000.0,9500,6500.0,40.62,Cash
ORD0136,2025-06-06,2025-06,2025,CUST0075,Customer 372,Male,58,Mysuru,Karnataka,Home & Kitchen,Home Decor,Table Lamp,1,1800,0.0,1800.0,1050,750.0,41.67,Cash
ORD0137,2025-01-21,2025-01,2025,CUST0303,Customer 357,Female,34,Surat,Gujarat,Beauty,Skincare,Moisturizer,3,750,0.05,2137.5,1260,877.5,41.05,Upi
ORD0138,2026-06-08,2026-06,2026,CUST0274,Customer 271,Male,55,Thiruvananthapuram,Kerala,Beauty,Skincare,Face Wash,3,450,0.05,1282.5,780,502.5,39.18,Upi
ORD0139,2025-07-18,2025-07,2025,CUST0387,Customer 349,Female,25,Warangal,Telangana,Clothing,Women'S Wear,Jacket,1,3200,0.15,2720.0,1900,820.0,30.15,Cash
ORD0140,2025-09-30,2025-09,2025,CUST0382,Customer 236,Male,32,Surat,Gujarat,Electronics,Wearables,Smart Watch,2,4500,0.1,8100.0,5800,2300.0,28.4,Upi
